ts_id,ds,y,water_prod,tubing_pressure,casing_pressure
WL01,2023-07-17 00:00:00,256.8,6.04,101.75,131.74
WL01,2023-07-16 00:00:00,256.75,6.07,125.62,134.09
WL01,2023-07-15 00:00:00,259.61,5.31,100.39,132.61
WL01,2023-07-14 00:00:00,258.18,5.0,123.77,140.13
WL01,2023-07-13 00:00:00,253.39,5.18,128.44,133.59
WL01,2023-07-12 00:00:00,259.11,5.04,108.76,136.68
WL01,2023-07-11 00:00:00,252.59,4.97,106.05,139.51
WL01,2023-07-10 00:00:00,258.18,5.17,112.08,131.87
WL01,2023-07-09 00:00:00,259.31,4.73,108.27,135.07
WL01,2023-07-08 00:00:00,257.16,3.38,133.12,135.32
WL01,2023-07-07 00:00:00,226.22,3.35,137.92,159.99
WL01,2023-07-06 00:00:00,250.93,4.77,118.97,133.96
WL01,2023-07-05 00:00:00,253.28,4.68,109.25,134.58
WL01,2023-07-04 00:00:00,243.78,4.53,106.55,132.48
WL01,2023-07-03 00:00:00,251.89,4.56,106.91,134.83
WL01,2023-07-02 00:00:00,254.91,4.55,103.96,133.59
WL01,2023-07-01 00:00:00,252.24,5.48,111.96,131.13
WL01,2023-06-30 00:00:00,251.81,5.43,103.84,135.07
WL01,2023-06-29 00:00:00,245.04,5.49,108.88,131.25
WL01,2023-06-28 00:00:00,251.64,4.61,106.18,129.03
WL01,2023-06-27 00:00:00,253.47,4.6,102.85,130.14
WL01,2023-06-26 00:00:00,248.97,5.68,108.76,131.5
WL01,2023-06-25 00:00:00,252.1,5.62,108.27,126.81
WL01,2023-06-24 00:00:00,260.05,5.42,98.67,130.51
WL01,2023-06-23 00:00:00,246.04,5.09,111.96,129.89
WL01,2023-06-22 00:00:00,238.61,4.79,102.24,146.18
WL01,2023-06-21 00:00:00,245.69,5.77,100.27,135.32
WL01,2023-06-20 00:00:00,247.27,5.56,98.67,129.28
WL01,2023-06-19 00:00:00,247.94,5.73,100.02,129.52
WL01,2023-06-18 00:00:00,248.24,5.54,99.53,130.14
WL01,2023-06-17 00:00:00,249.94,4.48,98.3,128.41
WL01,2023-06-16 00:00:00,275.17,1.09,105.07,131.99
WL01,2023-06-15 00:00:00,243.5,5.58,105.68,237.46
WL01,2023-06-14 00:00:00,230.55,6.14,101.62,129.77
WL01,2023-06-13 00:00:00,238.25,5.61,119.83,130.39
WL01,2023-06-12 00:00:00,244.88,5.15,134.72,130.39
WL01,2023-06-11 00:00:00,246.58,5.62,101.62,128.04
WL01,2023-06-10 00:00:00,264.78,4.75,101.75,129.15
WL01,2023-06-09 00:00:00,237.91,4.82,102.36,131.62
WL01,2023-06-08 00:00:00,246.65,5.55,111.84,125.58
WL01,2023-06-07 00:00:00,249.91,5.21,101.01,129.52
WL01,2023-06-06 00:00:00,245.5,5.84,100.89,127.92
WL01,2023-06-05 00:00:00,247.51,5.55,106.05,130.14
WL01,2023-06-04 00:00:00,246.61,5.69,104.08,126.07
WL01,2023-06-03 00:00:00,240.49,6.55,101.5,128.91
WL01,2023-06-02 00:00:00,240.45,5.93,101.38,127.43
WL01,2023-06-01 00:00:00,230.89,6.37,109.25,128.78
WL01,2023-05-31 00:00:00,251.95,5.77,105.32,127.8
WL01,2023-05-30 00:00:00,280.72,4.71,110.24,130.88
WL01,2023-05-29 00:00:00,267.72,4.93,107.9,134.58
WL01,2023-05-28 00:00:00,267.18,4.63,108.02,128.17
WL01,2023-05-27 00:00:00,264.26,4.59,106.67,133.84
WL01,2023-05-26 00:00:00,245.76,5.65,104.58,129.28
WL01,2023-05-25 00:00:00,229.37,5.91,102.12,130.51
WL01,2023-05-24 00:00:00,251.84,3.96,124.88,128.66
WL01,2023-05-23 00:00:00,258.64,1.42,117.99,124.71
WL01,2023-05-22 00:00:00,229.1,3.92,179.38,128.17
WL01,2023-05-21 00:00:00,244.02,5.65,103.47,129.4
WL01,2023-05-20 00:00:00,230.45,4.92,102.12,129.03
WL01,2023-05-19 00:00:00,218.33,5.71,105.19,126.44
WL01,2023-05-18 00:00:00,220.56,5.6,116.39,127.67
